filename,sign_class,is_present,set
000336.png,1_19,0,
000337.png,1_19,0,
000338.png,1_19,0,
000339.png,1_19,0,
000340.png,1_19,0,
000341.png,1_19,0,
000342.png,1_19,0,
000343.png,3_27,1,test
000344.png,3_27,1,valid
000345.png,3_27,1,test
000346.png,3_27,1,valid
000347.png,3_27,1,train
000348.png,3_27,1,train
000349.png,3_27,1,train
000350.png,6_4,1,valid
000351.png,6_4,1,train
000352.png,6_4,1,train
000353.png,6_4,1,train
000354.png,6_4,1,test
000355.png,6_4,1,train
000356.png,6_4,1,valid
000357.png,6_4,1,train
000358.png,6_4,1,train
000359.png,6_4,1,train
000360.png,6_4,1,train
000361.png,6_4,1,valid
000362.png,6_4,1,train
000363.png,6_4,1,train
000364.png,6_4,1,valid
000365.png,6_4,1,train
000366.png,6_4,1,train
000367.png,6_4,1,test
000368.png,6_4,1,test
000369.png,6_4,1,train
000370.png,6_4,1,test
000371.png,6_4,1,train
000372.png,6_4,1,test
000373.png,6_4,1,test
000374.png,6_4,1,test
000375.png,6_4,1,train
000376.png,6_4,1,test
000377.png,6_4,1,train
000378.png,6_4,1,train
000379.png,6_4,1,train
000380.png,6_4,1,valid
000381.png,6_4,1,train
000382.png,6_4,1,test
000383.png,2_1,1,test
000384.png,2_1,1,test
000385.png,2_1,1,test
000386.png,2_1,1,test
000387.png,2_1,1,test
000388.png,2_1,1,test
000389.png,2_1,1,test
000390.png,2_1,1,test
000391.png,2_1,1,test
000392.png,5_19_1,1,test
000393.png,5_19_1,1,test
000394.png,5_19_1,1,test
000395.png,5_16,1,test
000396.png,1_15,0,
000397.png,1_15,0,
000398.png,1_16,0,
000399.png,1_16,0,
000400.png,1_11_1,0,
000401.png,1_11_1,0,
000402.png,2_1,1,test
000403.png,2_1,1,test
000404.png,6_6,0,
000405.png,6_6,0,
000406.png,5_16,1,test
000407.png,5_16,1,test
000408.png,2_1,1,test
000409.png,2_1,1,test
000410.png,2_1,1,test
000411.png,5_19_1,1,test
000412.png,5_19_1,1,test
000413.png,1_19,0,
000414.png,1_19,0,
000415.png,5_15_1,0,
000416.png,5_15_1,0,
000417.png,2_1,1,test
000418.png,5_15_1,0,
000419.png,2_1,1,test
000420.png,2_1,1,train
000421.png,2_1,1,test
000422.png,2_1,1,test
000423.png,2_1,1,test
000424.png,2_1,1,train
000425.png,6_7,0,
000426.png,6_7,0,
000427.png,6_7,0,
000428.png,6_7,0,
000429.png,6_7,0,
000430.png,6_7,0,
000431.png,6_7,0,
000432.png,6_7,0,
000433.png,6_7,0,
000434.png,6_7,0,
000435.png,6_7,0,
000436.png,6_7,0,
000437.png,6_7,0,
000438.png,6_7,0,
000439.png,6_7,0,
000440.png,6_7,0,
000441.png,6_7,0,
000442.png,6_7,0,
000443.png,6_7,0,
000444.png,6_7,0,
000445.png,6_7,0,
000446.png,6_7,0,
000447.png,6_7,0,
000448.png,6_7,0,
000449.png,6_7,0,
000450.png,6_7,0,
000451.png,6_7,0,
000452.png,6_7,0,
000453.png,6_7,0,
000454.png,7_2,0,
000455.png,7_2,0,
000456.png,7_2,0,
000457.png,7_2,0,
000458.png,7_2,0,
000459.png,7_2,0,
000460.png,5_16,1,train
000461.png,5_16,1,test
000462.png,5_16,1,test
000463.png,5_16,1,test
000464.png,3_27,1,valid
000465.png,3_27,1,train
000466.png,3_27,1,train
000467.png,6_6,0,
000468.png,5_16,1,test
000469.png,5_16,1,test
000470.png,5_15_1,0,
000471.png,5_15_1,0,
000472.png,2_1,1,test
000473.png,5_15_1,0,
000474.png,2_1,1,test
000475.png,5_15_1,0,
000476.png,2_1,1,test
000477.png,5_15_2,0,
000478.png,5_15_2,0,
000479.png,5_15_2,0,
000480.png,5_15_1,0,
000481.png,2_1,1,test
000482.png,5_15_2,0,
000483.png,5_15_2,0,
000484.png,5_15_2,0,
000485.png,7_12,0,
000486.png,2_1,1,test
000487.png,5_15_2,0,
000488.png,5_15_2,0,
000489.png,5_15_2,0,
000490.png,7_12,0,
000491.png,2_1,1,train
000492.png,5_15_2,0,
000493.png,5_15_2,0,
000494.png,5_15_2,0,
000495.png,7_12,0,
000496.png,5_15_2,0,
000497.png,5_15_2,0,
000498.png,5_15_2,0,
000499.png,7_12,0,
000500.png,5_19_1,1,test
000501.png,4_2_1,0,
000502.png,4_2_1,0,
000503.png,4_2_1,0,
000504.png,2_1,1,test
000505.png,3_18,1,valid
000506.png,5_6,1,train
000507.png,3_27,1,train
000508.png,3_27,1,train
000509.png,7_3,1,train
000510.png,2_1,1,train
000511.png,7_3,1,valid
000512.png,2_1,1,train
000513.png,7_3,1,train
000514.png,2_1,1,test
000515.png,2_1,1,test
000516.png,2_1,1,test
000517.png,2_1,1,test
000518.png,6_4,1,train
000519.png,6_4,1,valid
000520.png,6_4,1,valid
000521.png,5_15_1,0,
000522.png,5_15_1,0,
000523.png,2_1,1,test
000524.png,2_1,1,test
000525.png,2_1,1,train
000526.png,7_3,1,train
000527.png,7_3,1,train
000528.png,4_2_3,0,
000529.png,4_2_3,0,
000530.png,6_4,1,train
000531.png,6_4,1,train
000532.png,6_4,1,train
000533.png,2_1,1,test
000534.png,2_1,1,test
000535.png,2_1,1,test
000536.png,2_1,1,train
000537.png,2_1,1,test
000538.png,2_1,1,test
000539.png,2_1,1,train
000540.png,2_1,1,test
000541.png,4_2_1,0,
000542.png,4_2_1,0,
000543.png,4_2_1,0,
000544.png,4_2_1,0,
000545.png,5_16,1,test
000546.png,6_6,0,
000547.png,5_15_1,0,
000548.png,5_15_1,0,
000549.png,5_15_1,0,
000550.png,5_15_1,0,
000551.png,5_15_2,0,
000552.png,5_15_2,0,
000553.png,5_15_2,0,
000554.png,5_15_2,0,
000555.png,5_15_2,0,
000556.png,5_15_2,0,
000557.png,5_15_2,0,
000558.png,5_15_2,0,
000559.png,5_15_2,0,
000560.png,5_15_2,0,
000561.png,5_15_2,0,
000562.png,5_15_2,0,
000563.png,5_5,1,train
000564.png,4_2_1,0,
000565.png,4_2_1,0,
000566.png,5_16,1,test
000567.png,6_7,0,
000568.png,6_7,0,
000569.png,2_1,1,test
000570.png,7_4,1,test
000571.png,7_3,1,train
000572.png,2_1,1,test
000573.png,7_4,1,train
000574.png,7_3,1,test
000575.png,5_16,1,test
000576.png,5_16,1,train
000577.png,7_3,1,test
000578.png,7_3,1,train
000579.png,7_3,1,train
000580.png,4_1_1,1,train
000581.png,4_1_2,0,
000582.png,3_27,1,valid
000583.png,1_23,0,
000584.png,1_23,0,
000585.png,5_15_1,0,
000586.png,5_15_1,0,
000587.png,5_15_1,0,
000588.png,5_15_3,0,
000589.png,5_15_3,0,
000590.png,1_23,0,
000591.png,1_23,0,
000592.png,2_1,1,train
000593.png,1_23,0,
000594.png,2_1,1,train
000595.png,2_1,1,test
000596.png,5_19_1,1,test
000597.png,5_16,1,test
000598.png,5_16,1,test
000599.png,5_15_5,0,
000600.png,5_15_5,0,
000601.png,5_15_5,0,
000602.png,1_16,0,
000603.png,1_16,0,
000604.png,7_11,0,
000605.png,2_1,1,test
000606.png,2_1,1,test
000607.png,2_1,1,test
000608.png,2_1,1,test
000609.png,2_1,1,test
000610.png,2_1,1,test
000611.png,2_1,1,test
000612.png,2_1,1,test
000613.png,2_1,1,test
000614.png,2_1,1,test
000615.png,2_1,1,test
000616.png,2_1,1,test
000617.png,2_1,1,test
000618.png,2_1,1,test
000619.png,5_5,1,train
000620.png,2_1,1,test
000621.png,5_5,1,test
000622.png,2_1,1,test
000623.png,5_5,1,train
000624.png,2_1,1,test
000625.png,5_5,1,train
000626.png,4_1_2_1,0,
000627.png,4_1_2_1,0,
000628.png,4_1_2_1,0,
000629.png,5_19_1,1,test
000630.png,5_19_1,1,test
000631.png,5_19_1,1,train
000632.png,5_16,1,test
000633.png,5_16,1,train
000634.png,2_1,1,train
000635.png,2_1,1,test
000636.png,2_1,1,test
000637.png,2_1,1,test
000638.png,5_19_1,1,test
000639.png,5_16,1,train
000640.png,3_27,1,train
000641.png,5_19_1,1,test
000642.png,5_19_1,1,test
000643.png,5_16,1,test
000644.png,5_16,1,test
000645.png,2_1,1,test
000646.png,2_1,1,test
000647.png,2_1,1,test
000648.png,6_3_1,0,
000649.png,6_3_1,0,
000650.png,4_2_1,0,
000651.png,4_2_1,0,
000652.png,4_2_1,0,
000653.png,4_2_1,0,
000654.png,4_2_1,0,
000655.png,4_2_1,0,
000656.png,4_2_1,0,
000657.png,4_2_1,0,
000658.png,3_27,1,test
000659.png,4_2_3,0,
000660.png,3_4_1,0,
000661.png,1_16,0,
000662.png,3_24_n5,0,
000663.png,3_27,1,train
000664.png,4_2_3,0,
000665.png,5_19_1,1,test
000666.png,5_19_1,1,test
000667.png,5_19_1,1,test
000668.png,5_19_1,1,test
000669.png,5_19_1,1,test
000670.png,5_19_1,1,test
000671.png,3_27,1,train
000672.png,3_27,1,test
000673.png,2_1,1,test
000674.png,2_1,1,test
000675.png,3_27,1,train
000676.png,4_1_2,0,
000677.png,3_27,1,train
000678.png,7_3,1,train
000679.png,3_27,1,test
000680.png,4_2_3,0,
000681.png,1_15,0,
000682.png,1_15,0,
000683.png,6_3_1,0,
000684.png,6_3_1,0,
000685.png,1_22,1,valid
000686.png,1_27,0,
000687.png,1_27,0,
000688.png,5_19_1,1,test
000689.png,5_19_1,1,test
000690.png,1_19,0,
000691.png,3_27,1,test
000692.png,5_15_1,0,
000693.png,5_15_1,0,
000694.png,5_15_1,0,
000695.png,2_1,1,test
000696.png,6_3_1,0,
000697.png,2_1,1,test
000698.png,6_3_1,0,
000699.png,4_2_1,0,
000700.png,6_6,0,
000701.png,2_1,1,test
000702.png,2_1,1,test
000703.png,7_3,1,train
000704.png,4_2_3,0,
000705.png,4_1_1,1,test
000706.png,4_1_1,1,test
000707.png,4_1_2_1,0,
000708.png,5_15_3,0,
000709.png,5_15_3,0,
000710.png,5_15_1,0,
000711.png,5_15_1,0,
000712.png,5_15_1,0,
000713.png,2_1,1,valid
000714.png,2_1,1,test
000715.png,5_19_1,1,test
000716.png,5_19_1,1,test
000717.png,1_15,0,
000718.png,3_27,1,train
000719.png,3_27,1,test
000720.png,4_2_1,0,
000721.png,2_3_2,0,
000722.png,4_1_1,1,train
000723.png,4_1_1,1,test
000724.png,2_3_2,0,
000725.png,2_3_2,0,
000726.png,2_3_2,0,
000727.png,5_15_2_2,0,
000728.png,5_15_2_2,0,
000729.png,1_22,1,valid
000730.png,4_1_2,0,
000731.png,5_19_1,1,test
000732.png,5_16,1,test
000733.png,5_19_1,1,test
000734.png,1_8,1,valid
000735.png,5_15_1,0,
000736.png,1_8,1,train
000737.png,5_15_1,0,
000738.png,5_15_1,0,
000739.png,5_15_1,0,
000740.png,2_1,1,test
000741.png,5_19_1,1,test
000742.png,2_1,1,test
000743.png,5_19_1,1,test
000744.png,2_1,1,test
000745.png,5_19_1,1,test
000746.png,2_1,1,test
000747.png,5_19_1,1,test
000748.png,2_1,1,test
000749.png,5_19_1,1,test
000750.png,2_1,1,test
000751.png,5_19_1,1,test
000752.png,2_1,1,test
000753.png,5_19_1,1,test
000754.png,2_1,1,test
000755.png,5_19_1,1,test
000756.png,2_1,1,test
000757.png,5_19_1,1,test
000758.png,2_1,1,test
000759.png,5_19_1,1,test
000760.png,2_1,1,train
000761.png,5_19_1,1,test
000762.png,2_1,1,test
000763.png,5_19_1,1,test
000764.png,2_1,1,test
000765.png,5_19_1,1,test
000766.png,2_1,1,test
000767.png,2_1,1,test
000768.png,5_19_1,1,test
000769.png,2_1,1,test
000770.png,5_19_1,1,test
000771.png,2_1,1,test
000772.png,5_19_1,1,test
000773.png,2_1,1,test
000774.png,5_19_1,1,test
000775.png,2_1,1,test
000776.png,5_19_1,1,test
000777.png,2_1,1,test
000778.png,5_19_1,1,test
000779.png,2_1,1,test
000780.png,5_19_1,1,test
000781.png,2_1,1,test
000782.png,5_19_1,1,train
000783.png,2_1,1,train
000784.png,5_19_1,1,test
000785.png,2_1,1,train
000786.png,5_19_1,1,test
000787.png,2_1,1,train
000788.png,5_19_1,1,test
000789.png,2_1,1,test
000790.png,5_19_1,1,test
000791.png,2_1,1,test
000792.png,5_19_1,1,test
000793.png,2_1,1,test
000794.png,5_19_1,1,test
000795.png,2_1,1,test
000796.png,5_19_1,1,test
000797.png,2_1,1,test
000798.png,5_19_1,1,test
000799.png,2_1,1,test
000800.png,5_19_1,1,test
000801.png,2_1,1,train
000802.png,5_19_1,1,test
000803.png,2_1,1,test
000804.png,5_19_1,1,test
000805.png,2_1,1,test
000806.png,5_19_1,1,test
000807.png,2_1,1,test
000808.png,5_19_1,1,test
000809.png,5_16,1,test
000810.png,5_16,1,test
000811.png,3_27,1,test
000812.png,3_27,1,train
000813.png,7_3,1,train
000814.png,7_3,1,train
000815.png,5_15_2_2,0,
000816.png,5_15_2_2,0,
000817.png,5_15_2_2,0,
000818.png,5_15_2_2,0,
000819.png,5_15_2_2,0,
000820.png,5_15_2_2,0,
000821.png,2_1,1,test
000822.png,2_1,1,test
000823.png,5_19_1,1,test
000824.png,5_16,1,test
000825.png,5_16,1,test
000826.png,3_27,1,test
000827.png,3_27,1,test
000828.png,4_2_1,0,
000829.png,4_2_1,0,
000830.png,4_2_1,0,
000831.png,7_4,1,train
000832.png,7_4,1,train
000833.png,2_3_2,0,
000834.png,2_3_2,0,
000835.png,7_2,0,
000836.png,7_2,0,
000837.png,5_19_1,1,test
000838.png,5_19_1,1,test
000839.png,5_19_1,1,test
000840.png,5_19_1,1,test
000841.png,2_3_2,0,
000842.png,1_8,1,train
000843.png,5_15_3,0,
000844.png,5_15_3,0,
000845.png,5_15_1,0,
000846.png,5_15_1,0,
000847.png,5_19_1,1,test
000848.png,3_27,1,valid
000849.png,3_27,1,test
000850.png,3_27,1,test
000851.png,5_19_1,1,train
000852.png,5_19_1,1,test
000853.png,5_19_1,1,test
000854.png,3_27,1,test
000855.png,3_27,1,test
000856.png,3_27,1,test
000857.png,4_1_1,1,test
000858.png,4_1_1,1,train
000859.png,4_1_1,1,train
000860.png,1_22,1,test
000861.png,7_3,1,test
000862.png,1_22,1,valid
000863.png,7_3,1,valid
000864.png,1_22,1,train
000865.png,7_3,1,train
000866.png,1_22,1,train
000867.png,7_3,1,test
000868.png,5_15_3,0,
000869.png,5_15_3,0,
000870.png,5_15_1,0,
000871.png,1_8,1,train
000872.png,5_15_1,0,
000873.png,1_8,1,train
000874.png,5_15_1,0,
000875.png,1_8,1,valid
000876.png,5_15_1,0,
000877.png,1_8,1,train
000878.png,5_15_1,0,
000879.png,1_8,1,test
000880.png,2_1,1,test
000881.png,2_1,1,train
000882.png,2_1,1,test
000883.png,2_1,1,test
000884.png,2_1,1,test
000885.png,2_1,1,train
000886.png,2_1,1,test
000887.png,2_1,1,test
000888.png,5_19_1,1,test
000889.png,5_19_1,1,test
000890.png,5_19_1,1,test
000891.png,5_16,1,test
000892.png,5_16,1,test
000893.png,2_1,1,test
000894.png,6_4,1,train
000895.png,2_1,1,test
000896.png,6_4,1,train
000897.png,2_1,1,test
000898.png,6_4,1,train
000899.png,1_17,0,
000900.png,3_24_n5,0,
000901.png,1_17,0,
000902.png,3_24_n5,0,
000903.png,1_17,0,
000904.png,3_24_n5,0,
000905.png,1_17,0,
000906.png,3_24_n5,0,
000907.png,1_17,0,
000908.png,3_24_n5,0,
000909.png,1_17,0,
000910.png,3_24_n5,0,
000911.png,3_27,1,test
000912.png,3_27,1,train
000913.png,5_19_1,1,test
000914.png,5_19_1,1,test
000915.png,2_1,1,test
000916.png,2_1,1,valid
000917.png,2_1,1,test
000918.png,3_27,1,test
000919.png,3_27,1,test
000920.png,1_11_1,0,
000921.png,1_11_1,0,
000922.png,2_1,1,test
000923.png,5_19_1,1,test
000924.png,5_19_1,1,test
000925.png,5_16,1,test
000926.png,5_16,1,train
000927.png,5_16,1,test
000928.png,5_16,1,test
000929.png,5_16,1,test
000930.png,5_16,1,test
000931.png,5_19_1,1,test
000932.png,5_16,1,test
000933.png,5_19_1,1,test
000934.png,5_19_1,1,test
000935.png,5_19_1,1,test
000936.png,5_19_1,1,test
000937.png,5_19_1,1,test
000938.png,5_19_1,1,test
000939.png,5_19_1,1,test
000940.png,5_19_1,1,test
000941.png,5_19_1,1,test
000942.png,5_19_1,1,test
000943.png,5_19_1,1,test
000944.png,5_19_1,1,test
000945.png,5_19_1,1,test
000946.png,5_19_1,1,test
000947.png,5_19_1,1,test
000948.png,5_19_1,1,test
000949.png,5_19_1,1,test
000950.png,5_19_1,1,train
000951.png,5_19_1,1,test
000952.png,5_19_1,1,test
000953.png,5_19_1,1,test
000954.png,5_19_1,1,test
000955.png,5_16,1,test
000956.png,5_16,1,train
000957.png,5_16,1,test
000958.png,3_27,1,test
000959.png,3_27,1,train
000960.png,3_27,1,test
000961.png,4_2_1,0,
000962.png,4_2_1,0,
000963.png,4_2_1,0,
000964.png,4_2_1,0,
000965.png,4_2_1,0,
000966.png,4_2_1,0,
000967.png,5_19_1,1,test
000968.png,5_19_1,1,test
000969.png,5_19_1,1,test
000970.png,5_19_1,1,test
000971.png,5_16,1,train
000972.png,2_1,1,valid
000973.png,5_19_1,1,test
000974.png,5_16,1,test
000975.png,2_1,1,test
000976.png,5_16,1,test
000977.png,2_1,1,test
000978.png,2_1,1,test
000979.png,5_15_3,0,
000980.png,5_15_3,0,
000981.png,5_15_3,0,
000982.png,5_15_3,0,
000983.png,2_1,1,train
000984.png,2_1,1,test
000985.png,2_1,1,test
000986.png,2_1,1,test
000987.png,2_1,1,test
000988.png,2_1,1,test
000989.png,2_1,1,test
000990.png,2_1,1,test
000991.png,2_1,1,test
000992.png,2_1,1,test
000993.png,4_2_1,0,
000994.png,7_3,1,test
000995.png,7_11,0,
000996.png,7_3,1,test
000997.png,7_11,0,
000998.png,7_3,1,train
000999.png,7_11,0,
001000.png,2_3_2,0,
001001.png,7_11,0,
001002.png,7_11,0,
001003.png,4_2_3,0,
001004.png,1_22,1,train
001005.png,3_27,1,valid
001006.png,5_19_1,1,test
001007.png,5_19_1,1,test
001008.png,5_16,1,train
001009.png,3_27,1,train
001010.png,3_27,1,train
001011.png,2_3,1,valid
001012.png,1_22,1,test
001013.png,1_22,1,valid
001014.png,3_27,1,test
001015.png,5_19_1,1,test
001016.png,5_19_1,1,test
001017.png,5_16,1,test
001018.png,3_27,1,train
001019.png,1_22,1,test
001020.png,1_22,1,train
001021.png,2_3_3,0,
001022.png,5_15_3,0,
001023.png,5_19_1,1,test
001024.png,5_15_3,0,
001025.png,5_19_1,1,train
001026.png,1_22,1,train
001027.png,5_19_1,1,test
001028.png,5_19_1,1,test
001029.png,5_16,1,train
